absolute_ofdm_block,nearest_pilot_block,evm_rms,evm_median,median_squared_residual,llr_common_scale,median_channel_reliability,minimum_channel_reliability
1,20,7.612365796865153e-05,6.370795652350391e-05,8.117409075582932e-09,40.0,0.9999999999974634,0.999749804637845
2,20,7.771448424729929e-05,6.659160072334799e-05,8.868883226416834e-09,40.0,0.9999999999974634,0.999749804637845
3,20,7.560319666286114e-05,6.338338637155563e-05,8.034907816774433e-09,40.0,0.9999999999974634,0.999749804637845
4,20,7.660558612409674e-05,6.367191676141526e-05,8.108228676370412e-09,40.0,0.9999999999974634,0.999749804637845
5,20,7.835648551221326e-05,6.49810590204138e-05,8.445076990414962e-09,40.0,0.9999999999974634,0.999749804637845
6,20,7.772039691222457e-05,6.503931873047796e-05,8.46022602782263e-09,40.0,0.9999999999974634,0.999749804637845
7,20,7.801857071334641e-05,6.244797781025579e-05,7.799500465171466e-09,40.0,0.9999999999974634,0.999749804637845
8,20,7.839410771715797e-05,6.426479329279257e-05,8.259936388822939e-09,40.0,0.9999999999974634,0.999749804637845
9,20,7.885479643633184e-05,6.351703133468177e-05,8.068854522818675e-09,40.0,0.9999999999974634,0.999749804637845
10,20,7.813990178463827e-05,6.59380774500151e-05,8.69566016727089e-09,40.0,0.9999999999974634,0.999749804637845
11,20,7.82644025378626e-05,6.403374539818509e-05,8.200641171456558e-09,40.0,0.9999999999974634,0.999749804637845
12,20,8.169918698937047e-05,6.448035467735807e-05,8.315433132333173e-09,40.0,0.9999999999974634,0.999749804637845
13,20,7.78147949846114e-05,6.4061363879337e-05,8.207730395955821e-09,40.0,0.9999999999974634,0.999749804637845
14,20,7.702739128622596e-05,6.370542322988168e-05,8.11676193409674e-09,40.0,0.9999999999974634,0.999749804637845
15,20,8.032527103975855e-05,6.613514594948941e-05,8.747715122868986e-09,40.0,0.9999999999974634,0.999749804637845
16,20,7.802174884143395e-05,6.646200286254934e-05,8.834396810672674e-09,40.0,0.9999999999974634,0.999749804637845
17,20,7.48622651119304e-05,6.234869965096755e-05,7.774723911952659e-09,40.0,0.9999999999974634,0.999749804637845
18,20,7.872722416152237e-05,6.699115868049128e-05,8.975632087246331e-09,40.0,0.9999999999974634,0.999749804637845
19,20,7.82926489281716e-05,6.42863698313578e-05,8.265485264080677e-09,40.0,0.9999999999974634,0.999749804637845
21,20,7.82908118976196e-05,6.624531281797182e-05,8.7768848012694e-09,40.0,0.9999999999974634,0.999749804637845
22,20,8.515961320518418e-05,7.222573670047187e-05,1.0433129380440725e-08,40.0,0.9999999999974634,0.999749804637845
23,20,7.841741033451397e-05,6.625711516003544e-05,8.780010829072285e-09,40.0,0.9999999999974634,0.999749804637845
24,20,8.482509441308384e-05,7.098604049558921e-05,1.0078036681703932e-08,40.0,0.9999999999974634,0.999749804637845
25,20,7.981284286875503e-05,6.507178971106042e-05,8.468675759103e-09,40.0,0.9999999999974634,0.999749804637845
26,20,7.897687014069699e-05,6.381949780660618e-05,8.145883408270047e-09,40.0,0.9999999999974634,0.999749804637845
27,20,8.468823952114944e-05,7.144328813709147e-05,1.020828684386007e-08,40.0,0.9999999999974634,0.999749804637845
28,20,7.844924567932437e-05,6.576210804167305e-05,8.649311800957674e-09,40.0,0.9999999999974634,0.999749804637845
29,20,8.137994916860348e-05,6.586940186411486e-05,8.677568372037028e-09,40.0,0.9999999999974634,0.999749804637845
30,20,8.165245011886751e-05,6.934134342953554e-05,9.616444025474133e-09,40.0,0.9999999999974634,0.999749804637845
31,20,8.169113652522919e-05,6.772824322698545e-05,9.174230430719771e-09,40.0,0.9999999999974634,0.999749804637845
32,20,0.7276364779567652,0.6229118136803948,0.7760382556461566,2.577192535868905,0.9999999999974634,0.999749804637845
33,20,0.7113608982672058,0.5981300685372835,0.7155194987024774,2.795171904646622,0.9999999999974634,0.999749804637845
34,20,0.7133283097941583,0.5975268954757839,0.7140789238707197,2.800810853174109,0.9999999999974634,0.999749804637845
