absolute_ofdm_block,nearest_pilot_block,evm_rms,evm_median,median_squared_residual,llr_common_scale,median_channel_reliability,minimum_channel_reliability
1,20,0.00010455760311431711,8.879206045243101e-05,1.5768062226995128e-08,40.0,0.9999999999951559,0.999580895874513
2,20,0.00010957232954913028,9.170237711021545e-05,1.6818684926379154e-08,40.0,0.9999999999951559,0.999580895874513
3,20,0.00010509100212830511,8.845643797846076e-05,1.5649097002999725e-08,40.0,0.9999999999951559,0.999580895874513
4,20,0.0001047620581687669,8.511365593017142e-05,1.4488673039012797e-08,40.0,0.9999999999951559,0.999580895874513
5,20,0.00010812528325927484,9.075767480597924e-05,1.647391107254175e-08,40.0,0.9999999999951559,0.999580895874513
6,20,0.00010670409742594437,9.052653092198732e-05,1.6390107565385394e-08,40.0,0.9999999999951559,0.999580895874513
7,20,0.000108360705125837,9.010083748704225e-05,1.6236333976855144e-08,40.0,0.9999999999951559,0.999580895874513
8,20,0.00010662876811452805,8.852285937396072e-05,1.5672660818264256e-08,40.0,0.9999999999951559,0.999580895874513
9,20,0.00010494683268615071,8.835196441315689e-05,1.561215738950851e-08,40.0,0.9999999999951559,0.999580895874513
10,20,0.00010871363848861186,8.981973307661131e-05,1.6135170713119063e-08,40.0,0.9999999999951559,0.999580895874513
11,20,0.00010742278023785766,8.958382985562355e-05,1.6050528122866455e-08,40.0,0.9999999999951559,0.999580895874513
12,20,0.00010687055997800219,9.032609330189204e-05,1.631760944975588e-08,40.0,0.9999999999951559,0.999580895874513
13,20,0.00010565742399781335,8.812031764784684e-05,1.5530386187626167e-08,40.0,0.9999999999951559,0.999580895874513
14,20,0.00010528117114048938,8.597802214373347e-05,1.4784443125431095e-08,40.0,0.9999999999951559,0.999580895874513
15,20,0.0001063116751151397,9.022864091125257e-05,1.6282455419789763e-08,40.0,0.9999999999951559,0.999580895874513
16,20,0.00010538905778694079,8.646793603520533e-05,1.495340793164511e-08,40.0,0.9999999999951559,0.999580895874513
17,20,0.0001075643127373225,8.813764736084462e-05,1.5536491512966255e-08,40.0,0.9999999999951559,0.999580895874513
18,20,0.00010804009105898102,9.196153095231141e-05,1.691385410722634e-08,40.0,0.9999999999951559,0.999580895874513
19,20,0.0001061703672075008,8.717523634997468e-05,1.519923589416387e-08,40.0,0.9999999999951559,0.999580895874513
21,20,0.00010567982425307445,8.688233875491541e-05,1.509708483817665e-08,40.0,0.9999999999951559,0.999580895874513
22,20,0.00010430762099729578,8.891049388896984e-05,1.5810156832407832e-08,40.0,0.9999999999951559,0.999580895874513
23,20,0.00010667311822814249,9.091406396899932e-05,1.6530735034617336e-08,40.0,0.9999999999951559,0.999580895874513
24,20,0.00010509840991155675,8.561836158159047e-05,1.4661021750246362e-08,40.0,0.9999999999951559,0.999580895874513
25,20,0.00010768338769044319,9.050769480912357e-05,1.6383292432846564e-08,40.0,0.9999999999951559,0.999580895874513
26,20,0.00011328650418650429,9.434826174866011e-05,1.7803223478987628e-08,40.0,0.9999999999951559,0.999580895874513
27,20,0.00011285905356888221,9.845812197176454e-05,1.9388003695015874e-08,40.0,0.9999999999951559,0.999580895874513
28,20,0.00010709354062114151,8.949867279811093e-05,1.6020034128228786e-08,40.0,0.9999999999951559,0.999580895874513
29,20,0.0001062546586487107,8.728060311362571e-05,1.5235812755720216e-08,40.0,0.9999999999951559,0.999580895874513
30,20,0.00010912056015474241,9.33913275258737e-05,1.7443890957137435e-08,40.0,0.9999999999951559,0.999580895874513
31,40,0.00011599604882796074,9.808067225151247e-05,1.9239691255550875e-08,40.0,0.9999999999951557,0.9995426608813853
32,40,0.00011534627666757694,9.671786646651284e-05,1.8708705804658054e-08,40.0,0.9999999999951557,0.9995426608813853
33,40,0.00011136768095744623,9.356014640841175e-05,1.7507003785969e-08,40.0,0.9999999999951557,0.9995426608813853
34,40,0.00011555209633773248,9.298015180879505e-05,1.7290622744362755e-08,40.0,0.9999999999951557,0.9995426608813853
35,40,0.00011251514065278898,9.379639822382195e-05,1.7595530882694368e-08,40.0,0.9999999999951557,0.9995426608813853
36,40,0.00011420115492630699,9.531469413242822e-05,1.8169788145376578e-08,40.0,0.9999999999951557,0.9995426608813853
37,40,0.00011662931004680169,9.620494174267164e-05,1.8510785503374717e-08,40.0,0.9999999999951557,0.9995426608813853
