group,ldpc_block,success,iterations,llr_min,llr_median_abs,llr_mean_abs,llr_max,hard_one_fraction
1,1,True,1,-40.01334271877829,39.999715121465144,39.99976363972973,40.01101527535956,0.476775956284153
1,2,True,1,-40.013927306428734,40.00009584347234,39.999958969584135,40.015912810997435,0.48565573770491804
1,3,True,1,-40.01197686974335,40.0001038298425,39.99995735538413,40.01082087747537,0.4952185792349727
1,4,True,1,-40.01372567242046,40.00000129930422,39.999902099552884,40.013559558056535,0.47472677595628415
1,5,True,1,-40.012318010316974,39.99990321720597,39.999752707051094,40.01170536708592,0.47540983606557374
1,6,True,1,-40.014675419423085,39.99984485871765,39.99987210908299,40.010955752643106,0.5006830601092896
1,7,True,1,-40.017438649372735,39.999874614733955,39.99986241467317,40.016150863563,0.4842896174863388
1,8,True,1,-40.01433748879065,39.99998823559115,39.99995625284149,40.01309654677585,0.4822404371584699
1,9,True,1,-40.01293690303072,39.99989722623576,39.99981466814784,40.011904537027895,0.4822404371584699
1,10,True,1,-40.01351241578152,39.999855833976866,39.99994136633992,40.01091432957025,0.47950819672131145
1,11,True,1,-40.01385119657325,39.99981019887393,39.999859353492944,40.01318353610894,0.4918032786885246
1,12,True,1,-40.01166951651989,40.00006467441817,39.999839465241266,40.013386008375285,0.4890710382513661
1,13,True,1,-40.01491951691707,40.00000052952342,39.99988300124202,40.011033109726455,0.491120218579235
1,14,True,1,-40.01489036143824,39.999879776541995,39.99981122616553,40.01262074166232,0.49453551912568305
1,15,True,1,-40.012945401405496,39.999822637822604,39.99979139185298,40.01106055659235,0.4931693989071038
1,16,True,1,-40.01347528955146,39.99982009079291,39.99987221135695,40.012351711307865,0.4822404371584699
1,17,True,1,-40.012015677947936,40.000013249573584,40.00000439194467,40.01305611511564,0.47404371584699456
1,18,True,1,-40.01458669267784,39.99983191966487,39.99978989880975,40.014813356631684,0.4883879781420765
1,19,True,1,-40.01322226550944,40.00011891222249,40.000032188477896,40.01152441336602,0.48975409836065575
1,20,True,1,-40.01384014855222,40.00011450283864,39.999946110507054,40.01182704009125,0.47882513661202186
1,21,True,1,-40.015017475148014,40.000156314526386,39.99997307804101,40.0150532894604,0.46789617486338797
1,22,True,1,-40.01208766797691,39.9999769908605,39.99992910289542,40.01061508715813,0.48770491803278687
1,23,True,1,-40.01240361015619,39.99976276257587,39.99988680856903,40.013268622882144,0.4842896174863388
1,24,True,1,-40.01177954001568,39.99996681780191,39.99991889588806,40.01519363266895,0.4713114754098361
1,25,True,1,-40.0138930829516,39.99997709814438,39.99996511131515,40.01147823185814,0.48975409836065575
1,26,True,1,-40.013862822372985,40.000030017124594,39.999955951568744,40.010938810759875,0.4870218579234973
1,27,True,1,-40.01543924472777,39.99984745405152,39.99985358021361,40.01037520354249,0.4692622950819672
1,28,True,1,-40.020596705546886,40.00001592231655,39.999961104008115,40.01114648847301,0.4808743169398907
1,29,True,1,-40.01212251476884,39.999808020459525,39.99986862822952,40.01342906799728,0.47062841530054644
1,30,True,1,-40.01838912474364,40.00010169540983,39.99988627692542,40.012129390325704,0.49453551912568305
