absolute_ofdm_block,nearest_pilot_block,evm_rms,evm_median,median_squared_residual,llr_common_scale,median_channel_reliability,minimum_channel_reliability
1,20,0.0031798422859088144,0.0031452418269321833,1.9785098590010817e-05,40.0,0.9999999999988365,0.9843071357032556
2,20,0.002851495200695965,0.002877237722707359,1.65570008898014e-05,40.0,0.9999999999988365,0.9843071357032556
3,20,0.001797947270824557,0.0018005236970276206,6.483771193779618e-06,40.0,0.9999999999988365,0.9843071357032556
4,20,0.001788404871075245,0.001817716527071909,6.608187092053267e-06,40.0,0.9999999999988365,0.9843071357032556
5,20,0.001368064002869691,0.0013432362853151737,3.608567467052526e-06,40.0,0.9999999999988365,0.9843071357032556
6,20,0.0016777526241736414,0.0016434740970256746,5.402015099042678e-06,40.0,0.9999999999988365,0.9843071357032556
7,20,0.0023310337875753397,0.0022995515642204997,1.057587538712101e-05,40.0,0.9999999999988365,0.9843071357032556
8,20,0.0013619654668255061,0.0013400025070815457,3.5912134398504064e-06,40.0,0.9999999999988365,0.9843071357032556
9,20,0.0015389232217214324,0.001547709452314184,4.790811953265154e-06,40.0,0.9999999999988365,0.9843071357032556
10,20,0.0013639684171730983,0.0013389257518744055,3.585444344970988e-06,40.0,0.9999999999988365,0.9843071357032556
11,20,0.0013677275660397554,0.0013445385386035538,3.6155678573032364e-06,40.0,0.9999999999988365,0.9843071357032556
12,20,0.0013519311345178595,0.0013307620672305886,3.541855749763931e-06,40.0,0.9999999999988365,0.9843071357032556
13,20,0.0018136621107024934,0.0018393510357630942,6.766427110402818e-06,40.0,0.9999999999988365,0.9843071357032556
14,20,0.001561715541298897,0.0015522260543249073,4.81881152440342e-06,40.0,0.9999999999988365,0.9843071357032556
15,20,0.0015302524575348708,0.0015248090130207097,4.650085306628075e-06,40.0,0.9999999999988365,0.9843071357032556
16,20,0.0013516643767625754,0.0013280087149913006,3.527214304306588e-06,40.0,0.9999999999988365,0.9843071357032556
17,20,0.0017801948905183476,0.00179598762521149,6.45114312726269e-06,40.0,0.9999999999988365,0.9843071357032556
18,20,0.0013600253184500848,0.0013344566717234056,3.5615504535959703e-06,40.0,0.9999999999988365,0.9843071357032556
19,20,0.0013682142018477726,0.0013403263130819124,3.5929492742155578e-06,40.0,0.9999999999988365,0.9843071357032556
21,20,0.0014932019124385936,0.0014784904994364083,4.371868313855165e-06,40.0,0.9999999999988365,0.9843071357032556
