absolute_ofdm_block,kind,data_row,peak,rms,waveform_hash
1,data,0,1.2481142286433033,0.17288882976288988,83e09e19b2572c3c8c093c9bdd74d25a2f1aa326312fb5d43f246c954c30c056
2,data,1,1.3030232225612928,0.17068697924039186,b5ed0e16e65766797ec95acd1a8a210896caa49236bbdf30d579f0862b6205d5
3,data,2,1.4793377199850615,0.17232171467403454,cde37fb70ef5cb555cd1d594c320c19ce65fbf46bbd0174841766df6853f9719
4,data,3,1.5921339437789763,0.17238657038307126,05553626c8e19480c92f2fd9edcb0562137fec531416cc57d39253d715fb0f52
5,data,4,1.2942626160330373,0.17052708802247862,f9f347d0de31084cfb73e127fd9b4e0adcfd92450ddb83509f54f2f749afceb4
6,data,5,1.4829758124352064,0.1718517263647875,a1d2fcfa432e4f4bf583ad309b7d9c5cf5e28e2322a91ba9d0f358eb84f30fe4
7,data,6,1.5919712687426082,0.1705148712901571,02de58a686cea31a32bd8a8eab09d65c9a31ea120ddb1037867cdf798dfdff0b
8,data,7,1.6032882277210556,0.17168449175145864,fd0a10e16864a42136d13169b8bafcc4ca7f19738f44ad93fb638dfb20a53d68
9,data,8,1.2747687878466532,0.17150411117886985,c124bbbeb96042ff884279e86e8d57e0c600b795c14406f1d695bab54c9a5236
10,data,9,1.1494891380460457,0.17190681440108968,8a28f8b1e3d5d99c5456c9de1681d4cbc5d22f1e6e9b275527d6a04498fae482
11,data,10,1.5747103909563398,0.17020024928514366,c32b1f69cb406d89b1b2bfe7afb8ebe0e602d572fbbb3f4a4ce7f4eaf0201dbb
12,data,11,1.1665668467038808,0.17194262084299963,378aad01bac95b1e71496153e68c24c9c8b4452d9b6f1c4d1267172ebad0dd2e
13,data,12,1.3644713976533782,0.1707594827423516,b4b7dc78c6ea6e5969529b1fab8242b3043cfe974a47ae614af4299e8b057d42
14,data,13,1.5531568740962487,0.17316020796292672,1846233297207bbbdba779d6d37dea1ba76081daf8a91d90a63f9375bb1593cf
15,data,14,1.3608813529894905,0.17141305339924773,77c363a20a0cb2721e26d71b6dac016a440c94b025ec62445da601bd47c80b2d
16,data,15,1.4706076800193242,0.1706238513044772,2dcb084dd51ecde0cc940f39a7b53553e05cf4ec28473db6851180841465fe00
17,data,16,1.1463814711156672,0.17115060703874335,c2193db4a6f2a48fd0be3580ad70d557c61fb2ad42f0d74b904432d35260fd63
18,data,17,1.4126816102130675,0.1722596591312662,7eb67e8b576d12921195c29dd37388c7f1d9717e1aa309248ae32bbda4aa1292
19,data,18,1.3176575241618909,0.1708518728840816,81082e7d181377062cf0b39aac48c1f70b96cc079bb8a316da86698100136881
20,known_pilot,,0.6320511926737163,0.1716992297725869,7c5e5f69ea47134d9a0902b6dcfa59559b3c326b209a26dc4c91d53ea20f9759
21,data,19,1.4002234389331036,0.16918002774244317,934cb23d4807fcac3ac1fc8f692d678aa2e9e2896d5c91c979e3918928ea2733
22,data,20,1.2294400314623557,0.17126656564027512,87d22767ea60ff786b3d03bf894edd08a48631cf16d79597e2a8d3c54944f085
