ofdm_block,cp_correlation,block_rms,block_peak
1,0.9999999998140512,0.10730564437417871,0.7272765057514105
2,0.9999999991074586,0.10759975695118366,0.716931733281224
3,0.9999999987466839,0.10847084196046165,0.6617955679511809
4,0.9999999983750122,0.10791962700468938,0.7470812275595435
5,0.9999999986148002,0.1076518345712439,0.7228125282397537
6,0.9999999981135389,0.10868192968839521,0.6825602120728341
7,0.9999999975712884,0.10780396375020897,0.689298207870183
8,0.9999999973108733,0.10830733762240927,0.752424624313706
9,0.9999999968761609,0.10834376706682536,0.6590115802922983
10,0.9999999985061637,0.10758003993197127,0.6413391059057036
11,0.999999997235775,0.10722188357941208,0.9087490002929578
12,0.9999999955190935,0.1075380576450562,0.724888123661286
13,0.9999999950292552,0.10731222493702745,0.7562898626859335
14,0.9999999958090975,0.10792540859439176,0.7894408389973532
15,0.9999999954645155,0.10813219350065961,0.8255000380490741
16,0.9999999957150753,0.10803687891543032,0.8940163067829955
17,0.9999999958592228,0.10892504445102409,0.7991550754708481
18,0.9999999951621407,0.10720245776562536,0.5913550000003359
19,0.999999994519868,0.10683885100140497,0.6614620095373951
20,0.9999999977701076,0.10780200722361234,0.39679573217931313
21,0.999999998363708,0.10643849056802715,0.7074396702011932
22,0.9999999898454676,0.10791581349818939,0.7334399351558842
23,0.9999999863536171,0.10782867107122962,0.7518986854551152
24,0.9999999887737943,0.10797439577755863,0.9503331198616658
25,0.9999999819790418,0.10745055863038226,0.6794629303603569
26,0.9999999896263695,0.10813456423446849,0.68757719700584
27,0.9999999848086752,0.10712146154895767,0.8864763961670276
28,0.9999999840419582,0.10767777245982478,0.8297316213228074
29,0.9999999819225315,0.10749497354591388,0.7599349392115895
30,0.9999999834243973,0.10774052524132953,0.7699518431874486
31,0.9999999834565054,0.10684096479302213,0.6974139098479852
32,0.01904677379814809,0.0009984430084485746,0.0039383567522996415
33,0.008009981202023292,0.0009920739245038055,0.003938563925909457
34,0.025905260257144548,0.0009911471815110349,0.0035715724428702416
